pmid,title,authors,journal,year,doi,abstract,sources,europepmc_id,openalex_id,scopus_id,cited_by_count,citations_per_year,sample_rank
30922101,"Single, repeated, and maintenance ketamine infusions for treatment-resistant depression: A randomized controlled trial",Phillips J.L.; Norris S.; Talbot J.; Birmingham M.; Hatchard T.; Ortiz A.; Owoeye O.; Batten L.A.; Blier P.,American Journal of Psychiatry,2019,10.1176/appi.ajp.2018.18070834,"Objective: Subanesthetic ketamine doses have been shown to have rapid yet transient antidepressant effects in patients with treatment-resistant depression, which may be prolonged by repeated administration. The purpose of this study was to evaluate the antidepressant effects of a single ketamine infusion, a series of repeated ketamine infusions, and prolongation of response with maintenance infusions. Methods: Forty-one participants with treatment-resistant depression completed a single-site randomized double-blind crossover comparison of single infusions of ketamine and midazolam (an active placebo control). After relapse of depressive symptoms, participants received a course of six open-label ketamine infusions administered thrice weekly over 2 weeks. Responders, classified as those participants who had a $50% decrease in their scores on the Montgomery-Åsberg Depression Rating Scale (MADRS), received four additional infusions administered once weekly (maintenance phase). Results: Compared with midazolam, a single ketamine infusion elicited a significantly greater reduction in depressive symptoms at the primary efficacy endpoint (24 hours postinfusion). Linear mixed models revealed cumulative antidepressant effects with repeated infusions and doubling of the antidepressant response rate. Fifty-nine percent of participants met response criteria after repeated infusions, with a median of three infusions required before achieving response. Participants had no further change in MADRS scores during weekly maintenance infusions. Conclusions: Repeated ketamine infusions have cumulative and sustained antidepressant effects. Reductions in depressive symptoms were maintained among responders through once-weekly infusions. These findings provide novel data on efficacious administration strategies for ketamine in patients with treatment-resistant depression. Future studies should further expand on optimizing administration to better translate the use of ketamine into clinical settings.",Scopus,,,85065509173,344,43.0,1
26766547,Can ketones compensate for deteriorating brain glucose uptake during aging? Implications for the risk and treatment of Alzheimer's disease,Cunnane S.C.; Courchesne-Loyer A.; St-Pierre V.; Vandenberghe C.; Pierotti T.; Fortier M.; Croteau E.; Castellano C.A.,Annals of the New York Academy of Sciences,2016,10.1111/nyas.12999,"Brain glucose uptake is impaired in Alzheimer's disease (AD). A key question is whether cognitive decline can be delayed if this brain energy defect is at least partly corrected or bypassed early in the disease. The principal ketones (also called ketone bodies), β-hydroxybutyrate and acetoacetate, are the brain's main physiological alternative fuel to glucose. Three studies in mild-to-moderate AD have shown that, unlike with glucose, brain ketone uptake is not different from that in healthy age-matched controls. Published clinical trials demonstrate that increasing ketone availability to the brain via moderate nutritional ketosis has a modest beneficial effect on cognitive outcomes in mild-to-moderate AD and in mild cognitive impairment. Nutritional ketosis can be safely achieved by a high-fat ketogenic diet, by supplements providing 20-70 g/day of medium-chain triglycerides containing the eight- and ten-carbon fatty acids octanoate and decanoate, or by ketone esters. Given the acute dependence of the brain on its energy supply, it seems reasonable that the development of therapeutic strategies aimed at AD mandates consideration of how the underlying problem of deteriorating brain fuel supply can be corrected or delayed.",Scopus,,,84954271182,194,17.6,2
28697562,The Montreal Cognitive Assessment: Normative Data from a Large Swedish Population-Based Cohort.,Borland E.; Nägga K.; Nilsson P.M.; Minthon L.; Nilsson E.D.; Palmqvist S.,Journal of Alzheimer S Disease,2017,10.3233/jad-170203,"Background: The Montreal Cognitive Assessment (MoCA) has a high sensitivity for detecting cognitive dysfunction. Swedish normative data does not exist and international norms are often derived from populations where cognitive impairment has not been screened for and not been thoroughly assessed to exclude subjects with dementia or mild cognitive impairment. Objective: To establish norms for MoCA and develop a regression-based norm calculator based on a large, well-examined cohort. Methods: MoCA was administered on 860 randomly selected elderly people from a population-based cohort from the EPIC study. Cognitive dysfunction was screened for and further assessed at a memory clinic. After excluding cognitively impaired participants, normative data was derived from 758 people, aged 65-85. Results: MoCA cut-offs (-1 to -2 standard deviations) for cognitive impairment ranged from <25 to <21 for the lowest educated and <26 to <24 for the highest educated, depending on age group. Significant predictors for MoCA score were age, sex and level of education. Conclusion: We present detailed normative MoCA data and cut-offs according to the DSM-5 criteria for cognitive impairment based on a large population-based cohort of elderly individuals, screened and thoroughly investigated to rule out cognitive impairment. Level of education, sex, and age should be taken in account when evaluating MoCA score, which is facilitated by our online regression-based calculator that provide percentile and z-score for a subject's MoCA score.",Europe PMC; Scopus,PMC5545909,,85026811098,177,17.7,3
30332919,A meta-analytic review of cognitive processing therapy for adults with posttraumatic stress disorder.,Asmundson G.J.G.; Thorisdottir A.S.; Roden-Foreman J.W.; Baird S.O.; Witcraft S.M.; Stein A.T.; Smits J.A.J.; Powers M.B.,Cognitive Behaviour Therapy,2019,10.1080/16506073.2018.1522371,"Numerous studies have demonstrated the efficacy of cognitive processing therapy (CPT) for treating posttraumatic stress disorder (PTSD). Two prior meta-analyses of studies are available but used approaches that limit conclusions that can be drawn regarding the impact of CPT on PTSD outcomes. The current meta-analysis reviewed outcomes of trials that tested the efficacy of CPT for PTSD in adults and evaluated potential moderators of outcomes. All published trials comparing CPT against an inactive control condition (i.e. psychological placebo or wait-list) or other active treatment for PTSD in adults were included, resulting in 11 studies with a total of 1130 participants. CPT outperformed inactive control conditions on PTSD outcome measures at posttreatment (mean Hedges' g = 1.24) and follow-up (mean Hedges' g = 0.90). The average CPT-treated participant fared better than 89% of those in inactive control conditions at posttreatment and 82% at follow-up. Results also showed that CPT outperformed inactive control conditions on non-PTSD outcome measures at posttreatment and follow-up and that CPT outperformed other active treatments at posttreatment but not at follow-up. Effect sizes of CPT on PTSD symptoms were not significantly moderated by participant age, number of treatment sessions, total sample size, length of follow-up, or group versus individual treatment; but, older studies had larger effect sizes and percent female sex moderated the effect of CPT on non-PTSD outcomes. These meta-analytic findings indicate that CPT is an effective PTSD treatment with lasting benefits across a range of outcomes.",Europe PMC; Scopus,30332919,,85055176254,171,21.4,4
31806127,Risk Factors for Infections Involving Cardiac Implanted Electronic Devices.,Birnie D.H.; Wang J.; Alings M.; Philippon F.; Parkash R.; Manlucu J.; Angaran P.; Rinne C.; Coutu B.; Low R.A.; Essebag V.; Morillo C.; Redfearn D.; Toal S.; Becker G.; Degrâce M.; Thibault B.; Crystal E.; Tung S.; LeMaitre J.; Sultan O.; Bennett M.; Bashir J.; Ayala-Paredes F.; Gervais P.; Rioux L.; Hemels M.E.W.; Bouwels L.H.R.; Exner D.V.; Dorian P.; Connolly S.J.; Longtin Y.; Krahn A.D.,Journal of the American College of Cardiology,2019,10.1016/j.jacc.2019.09.060,"Background: Cardiac implantable electronic device infection is a major complication that usually requires device removal. PADIT (Prevention of Arrhythmia Device Infection Trial) was a large cluster crossover trial of conventional versus incremental antibiotics. Objectives: This study sought to investigate independent predictors of device infection in PADIT and develop a novel infection risk score. Methods: In brief, over 4 6-month periods, 28 centers used either conventional or incremental prophylactic antibiotic treatment in all patients. The primary outcome was hospitalization for device infection within 1 year (blinded endpoint adjudication). Multivariable logistic prediction modeling was used to identify the independent predictors and develop a risk score for device infection. The prediction models were internally validated with bootstrap methods. Results: Device procedures were performed in 19,603 patients, and hospitalization for infection occurred in 177 (0.90%) within 1 year of follow-up. The final prediction model identified 5 independent predictors of device infection (prior procedures [P], age [A], depressed renal function [D], immunocompromised [I], and procedure type [T]) with an optimism-corrected C-statistic of 0.704 (95% confidence interval: 0.660 to 0.744). A PADIT risk score ranging from 0 to 15 points classified patients into low (0 to 4), intermediate (5 to 6) and high (≥7) risk groups with rates of hospitalization for infection of 0.51%, 1.42%, and 3.41%, respectively. Conclusions: This study identified 5 independent predictors of device infection and developed a novel infection risk score in the largest cardiac implantable electronic device trial to date, warranting validation in an independent cohort. The 5 independent predictors in the PADIT score are readily adopted into clinical practice. (Prevention of Arrhythmia Device Infection Trial [PADIT Pilot]; NCT01002911)",Europe PMC; Scopus,31806127,,85075141416,153,19.1,5
36202135,Clinical guidelines for the use of lifestyle-based mental health care in major depressive disorder: World Federation of Societies for Biological Psychiatry (WFSBP) and Australasian Society of Lifestyle Medicine (ASLM) taskforce,Marx W.; Manger S.H.; Blencowe M.; Murray G.; Ho F.Y.Y.; Lawn S.; Blumenthal J.A.; Schuch F.; Stubbs B.; Ruusunen A.; Desyibelew H.D.; Dinan T.G.; Jacka F.; Ravindran A.; Berk M.; O’Neil A.,World Journal of Biological Psychiatry,2023,10.1080/15622975.2022.2112074,"Objectives: The primary objectives of these international guidelines were to provide a global audience of clinicians with (a) a series of evidence-based recommendations for the provision of lifestyle-based mental health care in clinical practice for adults with Major Depressive Disorder (MDD) and (b) a series of implementation considerations that may be applicable across a range of settings. Methods: Recommendations and associated evidence-based gradings were based on a series of systematic literature searches of published research as well as the clinical expertise of taskforce members. The focus of the guidelines was eight lifestyle domains: physical activity and exercise, smoking cessation, work-directed interventions, mindfulness-based and stress management therapies, diet, sleep, loneliness and social support, and green space interaction. The following electronic bibliographic databases were searched for articles published prior to June 2020: PubMed, EMBASE, The Cochrane Library (Cochrane Database of Systematic Reviews, Cochrane Central Register of Controlled Trials (CENTRAL), Cochrane Methodology Register), CINAHL, PsycINFO. Evidence grading was based on the level of evidence specific to MDD and risk of bias, in accordance with the World Federation of Societies for Biological Psychiatry criteria. Results: Nine recommendations were formed. The recommendations with the highest ratings to improve MDD were the use of physical activity and exercise, relaxation techniques, work-directed interventions, sleep, and mindfulness-based therapies (Grade 2). Interventions related to diet and green space were recommended, but with a lower strength of evidence (Grade 3). Recommendations regarding smoking cessation and loneliness and social support were based on expert opinion. Key implementation considerations included the need for input from allied health professionals and support networks to implement this type of approach, the importance of partnering such recommendations with behaviour change support, and the need to deliver interventions using a biopsychosocial-cultural framework. Conclusions: Lifestyle-based interventions are recommended as a foundational component of mental health care in clinical practice for adults with Major Depressive Disorder, where other evidence-based therapies can be added or used in combination. The findings and recommendations of these guidelines support the need for further research to address existing gaps in efficacy and implementation research, especially for emerging lifestyle-based approaches (e.g. green space, loneliness and social support interventions) where data are limited. Further work is also needed to develop innovative approaches for delivery and models of care, and to support the training of health professionals regarding lifestyle-based mental health care.",Scopus,,,85139500686,126,31.5,6
27021814,Amyloid-β and hyperphosphorylated tau synergy drives metabolic decline in preclinical Alzheimer's disease,Pascoal T.A.; Mathotaarachchi S.; Mohades S.; Benedet A.L.; Chung C.O.; Shin M.; Wang S.; Beaudry T.; Kang M.S.; Soucy J.P.; Labbe A.; Gauthier S.; Rosa-Neto P.,Molecular Psychiatry,2017,10.1038/mp.2016.37,"This study was designed to test the interaction between amyloid-β and tau proteins as a determinant of metabolic decline in preclinical Alzheimer's disease (AD). We assessed 120 cognitively normal individuals with [ 18F]florbetapir positron emission tomography (PET) and cerebrospinal fluid (CSF) measurements at baseline, as well as [ 18F]fluorodeoxyglucose ([ 18F]FDG) PET at baseline and at 24 months. A voxel-based interaction model was built to test the associations between continuous measurements of CSF biomarkers, [ 18F]florbetapir and [ 18F]FDG standardized uptake value ratios (SUVR). We found that the synergistic interaction between [ 18F]florbetapir SUVR and CSF phosphorylated tau (p-tau) measurements, rather than the sum of their independent effects, was associated with a 24-month metabolic decline in basal and mesial temporal, orbitofrontal, and anterior and posterior cingulate cortices (P1-42 and total tau biomarkers did not associate with metabolic decline over a time frame of 24 months. The interaction found in this study further support the framework that amyloid-β and hyperphosphorylated tau aggregates synergistically interact to cause downstream AD neurodegeneration. In fact, the regions displaying the metabolic decline reported here were confined to brain networks affected early by amyloid-β plaques and neurofibrillary tangles. Preventive clinical trials may benefit from using a combination of amyloid-β PET and p-tau biomarkers to enrich study populations of cognitively normal subjects with a high probability of disease progression in studies, using [ 18F]FDG as a biomarker of efficacy.",Scopus,,,84961700362,108,10.8,7
31084617,The classification of feeding and eating disorders in the ICD-11: results of a field study comparing proposed ICD-11 guidelines with existing ICD-10 guidelines.,Claudino A.M.; Pike K.M.; Hay P.; Keeley J.W.; Evans S.C.; Rebello T.J.; Bryant-Waugh R.; Dai Y.; Zhao M.; Matsumoto C.; Herscovici C.R.; Mellor-Marsá B.; Stona A.C.; Kogan C.S.; Andrews H.F.; Monteleone P.; Pilon D.J.; Thiels C.; Sharan P.; Al-Adawi S.; Reed G.M.,BMC Medicine,2019,10.1186/s12916-019-1327-4,"Background: The World Health Organization (WHO) International Classification of Diseases and Related Health Problems (ICD) is used globally by 194 WHO member nations. It is used for assigning clinical diagnoses, providing the framework for reporting public health data, and to inform the organization and reimbursement of health services. Guided by overarching principles of increasing clinical utility and global applicability, the 11th revision of the ICD proposes major changes that incorporate empirical advances since the previous revision in 1992. To test recommended changes in the Mental, Behavioral, and Neurodevelopmental Disorders chapter, multiple vignette-based case-controlled field studies have been conducted which examine clinicians' ability to accurately and consistently use the new guidelines and assess their overall clinical utility. This manuscript reports on the results from the study of the proposed ICD-11 guidelines for feeding and eating disorders (FEDs). Method: Participants were 2288 mental health professionals registered with WHO's Global Clinical Practice Network. The study was conducted in Chinese, English, French, Japanese, and Spanish. Clinicians were randomly assigned to apply either the ICD-11 or ICD-10 diagnostic guidelines for FEDs to a pair of case vignettes designed to test specific clinical questions. Clinicians selected the diagnosis they thought was correct for each vignette, evaluated the presence of each essential feature of the selected diagnosis, and the clinical utility of the diagnostic guidelines. Results: The proposed ICD-11 diagnostic guidelines significantly improved accuracy for all FEDs tested relative to ICD-10 and attained higher clinical utility ratings; similar results were obtained across all five languages. The inclusion of binge eating disorder and avoidant-restrictive food intake disorder reduced the use of residual diagnoses. Areas needing further refinement were identified. Conclusions: The proposed ICD-11 diagnostic guidelines consistently outperformed ICD-10 in distinguishing cases of eating disorders and showed global applicability and appropriate clinical utility. These results suggest that the proposed ICD-11 guidelines for FEDs will help increase accuracy of public health data, improve clinical diagnosis, and enhance health service organization and provision. This is the first time in the revision of the ICD that data from large-scale, empirical research examining proposed guidelines is completed in time to inform the final diagnostic guidelines.",Europe PMC; Scopus,PMC6515596,,85065641837,104,13.0,8
35351783,Progression to Dementia or Reversion to Normal Cognition in Mild Cognitive Impairment as a Function of Late-Onset Neuropsychiatric Symptoms,Mcgirr A.; Nathan S.; Ghahremani M.; Gill S.; Smith E.E.; Ismail Z.,Neurology,2022,10.1212/wnl.0000000000200256,"Background and ObjectivesMild cognitive impairment (MCI) is an at-risk state for dementia; however, not all individuals with MCI transition to dementia, and some revert to normal cognition (NC). Here, we investigate whether mild behavioral impairment (MBI), the late-life onset of persistent neuropsychiatric symptoms (NPS), improves the prognostic specificity of MCI.MethodsParticipants with MCI from the National Alzheimer's Coordinating Center Uniform Data Set were included. NPS were operationalized with the Neuropsychiatric Inventory Questionnaire to identify participants without NPS and those with MBI (persistent, late-onset NPS). Individuals with late-onset NPS not meeting the MBI persistence criterion (NPS_NOT_MBI) were retained for secondary analyses. Progression to dementia, stable MCI, and reversion to NC after 3 years of follow-up were defined per National Institute on Aging-Alzheimer's Association and Petersen criteria.ResultsThe primary sample consisted of 739 participants (NPS-n = 409 and MBI+ n = 330; 75.16 ± 8.6 years old, 40.5% female). After 3 years, 238 participants (33.6%) progressed to dementia, and 90 (12.2%) reverted to NC. Compared to participants without NPS, participants with MBI were significantly more likely to progress to dementia (adjusted odds ratio [AOR] 2.13, 95% CI 1.52-2.99), with an annual progression rate of 14.7% (vs 8.3% for participants with MCI without NPS). Compared to participants without NPS, participants with MBI were less likely to revert to NC (AOR 0.48, 95% CI 0.28-0.83, 2.5% vs 5.3% annual reversion rate). The NPS_NOT_MBI group (n = 331, 76.5 ± 8.6 years old, 45.9% female) were more likely to progress to dementia (AOR 2.18, 95% CI 1.56-3.03, 14.3% annual progression rate) but not less likely to revert to NC than those without NPS. Accordingly, both NPS_NOT_MBI and MBI+ participants had lower Mini-Mental State Examination scores than NPS-participants after 3 years.DiscussionLate-onset NPS improve the specificity of MCI as an at-risk state for progression to dementia. However, only persistent late-onset NPS are associated with a lower likelihood of reversion to NC, with transient NPS (i.e., NPS_NOT_MBI) not differing from the NPS-group. Clinical prognostication can be improved by incorporating late-onset NPS, especially those that persist (i.e., MBI), into risk assessments. Clinical trials may benefit from enrichment with these higher-risk participants with MCI.",Scopus,,,85128549971,104,20.8,9
28668663,Prevalence and Determinants of Poor Food Intake of Residents Living in Long-Term Care.,Keller H.H.; Carrier N.; Slaughter S.E.; Lengyel C.; Steele C.M.; Duizer L.; Morrison J.; Brown K.S.; Chaudhury H.; Yoon M.N.; Duncan A.M.; Boscart V.; Heckman G.; Villalon L.,Journal of the American Medical Directors Association,2017,10.1016/j.jamda.2017.05.003,"Objective Poor food intake is known to lead to malnutrition in long-term care homes (LTCH), yet multilevel determinants of food intake are not fully understood, hampering development of interventions that can maintain the nutritional status of residents. This study measures energy and protein intake of LTCH residents, describes prevalence of diverse covariates, and the association of covariates with food intake. Design Multisite cross-sectional study. Setting Thirty-two nursing homes from 4 provinces in Canada. Participants From a sample of 639 residents (20 randomly selected per home), 628 with complete data were included in analyses. Measurements Three days of weighed food intake (main plate, estimated beverages and side dishes, snacks) were completed to measure energy and protein intake. Health records were reviewed for diagnoses, medications, and diet prescription. Mini-Nutritional Assessment-SF was used to determine nutritional risk. Oral health and dysphagia risk were assessed with standardized protocols. The Edinburgh-Feeding Questionnaire (Ed-FED) was used to identify eating challenges; mealtime interactions with staff were assessed with the Mealtime Relational Care Checklist. Mealtime observations recorded duration of meals and assistance received. Dining environments were assessed for physical features using the Dining Environment Audit Protocol, and the Mealtime Scan was used to record mealtime experience and ambiance. Staff completed the Person Directed Care questionnaire, and managers completed a survey describing features of the home and food services. Hierarchical multivariate regression determined predictors of energy and protein intake adjusted for other covariates. Results Average age of participants was 86.3 ± 7.8 years and 69% were female. Median energy intake was 1571.9 ± 411.93 kcal and protein 58.4 ± 18.02 g/d. There was a significant interaction between being prescribed a pureed/liquidized diet and eating challenges for energy intake. Age, number of eating challenges, pureed/liquidized diet, and sometimes requiring eating assistance were negatively associated with energy and protein intake. Being male, a higher Mini-Nutritional Assessment–Short Form score, often requiring eating assistance, and being on a dementia care unit were positively associated with energy and protein intake. Energy intake alone was negatively associated with homelikeness scores but positively associated with person-centered care practices, whereas protein intake was positively associated with more dietitian time. Conclusion This is the first study to consider resident, unit, staff, and home variables that are associated with food intake. Findings indicate that interventions focused on pureed food, restorative dining, eating assistance, and person-centered care practices may support improved food intake and should be the target for further research.",Europe PMC; Scopus,28668663,,85021353494,100,10.0,10
