rank,pmid,doi,title,authors,journal,year,abstract,batch,reviewer1_decision,reviewer1_category,reviewer1_notes,reviewer2_decision,reviewer2_category,reviewer2_notes,final_decision
97,26580307,10.1001/jamapsychiatry.2015.2235,"Efficacy of Bright Light Treatment, Fluoxetine, and the Combination in Patients With Nonseasonal Major Depressive Disorder: A Randomized Clinical Trial.",Lam R.W.; Levitt A.J.; Levitan R.D.; Michalak E.E.; Cheung A.H.; Morehouse R.; Ramasubbu R.; Yatham L.N.; Tam E.M.,JAMA Psychiatry,2016,"ImportanceBright light therapy is an evidence-based treatment for seasonal depression, but there is limited evidence for its efficacy in nonseasonal major depressive disorder (MDD).ObjectiveTo determine the efficacy of light treatment, in monotherapy and in combination with fluoxetine hydrochloride, compared with a sham-placebo condition in adults with nonseasonal MDD.Design, setting, and participantsRandomized, double-blind, placebo- and sham-controlled, 8-week trial in adults (aged 19-60 years) with MDD of at least moderate severity in outpatient psychiatry clinics in academic medical centers. Data were collected from October 7, 2009, to March 11, 2014. Analysis was based on modified intent to treat (randomized patients with ≥1 follow-up rating).InterventionsPatients were randomly assigned to (1) light monotherapy (active 10,000-lux fluorescent white light box for 30 min/d in the early morning plus placebo pill); (2) antidepressant monotherapy (inactive negative ion generator for 30 min/d plus fluoxetine hydrochloride, 20 mg/d); (3) combination light and antidepressant; or (4) placebo (inactive negative ion generator plus placebo pill).Main outcomes and measuresChange score on the Montgomery-Åsberg Depression Rating Scale (MADRS) from baseline to the 8-week end point. Secondary outcomes included response (≥50% reduction in MADRS score) and remission (MADRS score ≤10 at end point).ResultsA total of 122 patients were randomized (light monotherapy, 32; fluoxetine monotherapy, 31; combination therapy, 29; placebo, 30). The mean (SD) changes in MADRS score for the light, fluoxetine, combination, and placebo groups were 13.4 (7.5), 8.8 (9.9), 16.9 (9.2), and 6.5 (9.6), respectively. The combination (effect size [d] = 1.11; 95% CI, 0.54 to 1.64) and light monotherapy (d = 0.80; 95% CI, 0.28 to 1.31) were significantly superior to placebo in the MADRS change score, but fluoxetine monotherapy (d = 0.24; 95% CI, -0.27 to 0.74) was not superior to placebo. For the respective placebo, fluoxetine, light, and combination groups at the end point, response was achieved by 10 (33.3%), 9 (29.0%), 16 (50.0%), and 22 (75.9%) and remission was achieved by 9 (30.0%), 6 (19.4%), 14 (43.8%), and 17 (58.6%). Combination therapy was superior to placebo in MADRS response (β = 1.70; df = 1; P = .005) and remission (β = 1.33; df = 1; P = .02), with numbers needed to treat of 2.4 (95% CI, 1.6 to 5.8) and 3.5 (95% CI, 2.0 to 29.9), respectively. All treatments were generally well tolerated, with few significant differences in treatment-emergent adverse events.Conclusions and relevanceBright light treatment, both as monotherapy and in combination with fluoxetine, was efficacious and well tolerated in the treatment of adults with nonseasonal MDD. The combination treatment had the most consistent effects.Trial registrationclinicaltrials.gov Identifier: NCT00958204.",1,MAP,depression,Unanimous agreement,MAP,meets_all_criteria,"RCT; MDD; fluoxetine (pharmacotherapy arm); Canadian PIs (Lam RW/UBC, Levitt AJ/Toronto); 2016",MAP
121,27049826,10.1001/jamapsychiatry.2016.0109,Hydromorphone Compared With Diacetylmorphine for Long-term Opioid Dependence: A Randomized Clinical Trial.,Oviedo-Joekes E.; Guh D.; Brissette S.; Marchand K.; MacDonald S.; Lock K.; Harrison S.; Janmohamed A.; Anis A.H.; Krausz M.; Marsh D.C.; Schechter M.T.,JAMA Psychiatry,2016,"ImportanceDiacetylmorphine hydrochloride (the active ingredient in heroin), delivered under supervision, is effective for the treatment of severe opioid use disorder. However, owing to political and regulatory barriers, it is not available in many settings around the world, which limits the options for many long-term street opioid injectors not attracted into or retained in available treatments.ObjectiveTo test if injectable hydromorphone hydrochloride is noninferior to injectable diacetylmorphine in reducing illicit heroin use for chronic injection opioid users after 6 months of intervention.Design, setting, and participantsThe Study to Assess Longer-term Opioid Medication Effectiveness (SALOME) was a phase 3, double-blind, noninferiority trial. The study randomized 202 long-term street opioid injectors in Vancouver, British Columbia, Canada. Eligible participants were recruited between December 19, 2011, and December 18, 2013. Both intent-to-treat (ITT) and per-protocol (PP) analyses were conducted.InterventionsParticipants were randomly assigned to receive injectable diacetylmorphine or hydromorphone (up to 3 times daily) for 6 months under supervision.Main outcomes and measuresPrimary and coprimary efficacy outcomes were self-reported days of street heroin use (primary), days of any street-acquired opioids in the prior 30 days (noninferiority margin, 4 days), and the proportion of urinalyses positive for street heroin markers (margin, 10% of the observed rate in the diacetylmorphine group). The mean differences between diacetylmorphine and hydromorphone for the ITT and PP analyses were reported.ResultsThe study included 202 participants; 100 randomized to receive hydromorphone and 102 to diacetylmorphine. Their mean (SD) age was 44.33 (9.63) years, and 30.7% (62 of 202) were women. Noninferiority of hydromorphone was confirmed in the PP analysis (-1.44; 90% CI, -3.22 to 0.27) for street heroin use, although the margin of 4 days was not excluded in the ITT analysis (-2.34; 90% CI, -4.14 to -0.52). Noninferiority was confirmed for any street opioids in the ITT analysis (-0.85; 90% CI, -2.97 to 1.25) and the PP analysis (-0.15; 90% CI, -2.09 to 1.76), as well as for the urinalyses (0.09; 90% CI, -0.02 to 0.19 for the ITT analysis and 0.13; 90% CI, 0.02-0.24 for the PP analysis). There were 29 SAEs considered to have some relationship with the injection medication, 5 in the hydromorphone group and 24 in the diacetylmorphine group (rate ratio, 0.21; 95% CI, 0.06-0.69). Seizures and overdoses accounted for 25 of the 29 related SAEs.Conclusions and relevanceThis study provides evidence to suggest noninferiority of injectable hydromorphone relative to diacetylmorphine for long-term opioid dependence. In jurisdictions where diacetylmorphine is currently not available or for patients in whom it is contraindicated or unsuccessful, hydromorphone could be offered as an alternative.Trial registrationclinicaltrials.gov Identifier: NCT01447212.",1,MAP,substance_use,Unanimous agreement,MAP,meets_all_criteria,"RCT; opioid use disorder (DSM-5); injectable hydromorphone/diacetylmorphine targeting OUD; Vancouver, Canada; 2016",MAP
580,35120288,10.4088/jcp.21m14022,"Treating Insulin Resistance With Metformin as a Strategy to Improve Clinical Outcomes in Treatment-Resistant Bipolar Depression (the TRIO-BD Study): A Randomized, Quadruple-Masked, Placebo-Controlled Clinical Trial.",Cynthia V. Calkin; K. N. Roy Chengappa; Kathleen Cairns; Jacob Cookey; Jessica Gannon; Martin Alda; Claire O’Donovan; Claire Reardon; Marcos Sanches; Martina Růzicková,The Journal of Clinical Psychiatry,2022,"Objective: Therapeutic options are limited for treatment-resistant bipolar depression (TRBD). Insulin resistance (IR) confers increased risk for TRBD. We investigated metformin, an insulin sensitizer, to reverse IR and improve clinical outcomes in TRBD.Methods: Using a random-assignment (1:1), intent-to-treat, 2-site, quadruple-masked, parallel-group (metformin to 2,000 mg/d or placebo) clinical trial design, patients with DSM-5 bipolar disorder (BD) type I or II and IR received study medication for 26 weeks (February 2016 to October 2019). The primary outcome was the change in depression rating scores (Montgomery-Asberg Depression Rating Scale [MADRS]) at 14 weeks between those who no longer met IR criteria (converters) and those who still did (non-converters). Additional outcomes included scores on the Global Assessment of Functioning (GAF); the Clinical Global Impressions Scale, Bipolar Disorders version (CGI-BP); and the Hamilton Anxiety Rating Scale (HAM-A) and maintenance of improved outcomes up to 26 weeks.Results: Forty-five BD patients were randomized to metformin (n = 20) or placebo (n = 25), and at 14 weeks or later, 11 subjects no longer met IR criteria (n = 10 with metformin, n = 1 with placebo; P = .0009). These converters experienced significant improvements in MADRS (P values ranged from .031 to .008) and GAF (P values ranged from .045 to .008) scores compared to non-converters beginning at week 6, sustained to week 26. HAM-A (P = .022 at week 14 and .019 at week 26) and CGI-BP change scores (P = .046 at 26 weeks) significantly favored converters over non-converters. Effect sizes were large for the MADRS and GAF (Cohen d > 1 at 14 and 26 weeks) and large for the HAM-A and CGI-BP at 26 weeks. Transient gastrointestinal side effects occurred under both treatment conditions.Conclusions: Pending replication, this early study suggests that reversal of IR by metformin offers a path out of TRBD. Further characterization of metformin converters with TRBD will prove informative.Trial Registration: ClinicalTrials.gov identifier: NCT02519543.",4,MAP,bipolar_mood,"2 extractors (ext2,ext3) agree: MAP",MAP,meets_all_criteria,"RCT; bipolar depression treatment-resistant (DSM-5); metformin targeting insulin resistance to improve MH outcomes; Canadian PI (Calkin/Alda, Dalhousie); 2022",MAP
597,32639561,10.1001/jamapsychiatry.2020.1767,Effectiveness of Sequential Psychological and Medication Therapies for Insomnia Disorder: A Randomized Clinical Trial.,Morin C.M.; Edinger J.D.; Beaulieu-Bonneau S.; Ivers H.; Krystal A.D.; Guay B.; Bélanger L.; Cartwright A.; Simmons B.; Lamy M.; Busby M.,JAMA Psychiatry,2020,"Importance: Despite evidence of efficacious psychological and pharmacologic therapies for insomnia, there is little information about what first-line treatment should be and how best to proceed when initial treatment fails. Objective: To evaluate the comparative efficacy of 4 treatment sequences involving psychological and medication therapies for insomnia and examine the moderating effect of psychiatric disorders on insomnia outcomes. Design, Setting, and Participants: In a sequential multiple-assignment randomized trial, patients were assigned to first-stage therapy involving either behavioral therapy (BT; n = 104) or zolpidem (zolpidem; n = 107), and patients who did not remit received a second treatment involving either medication (zolpidem or trazodone) or psychological therapy (BT or cognitive therapy [CT]). The study took place at Institut Universitaire en Santé Mentale de Québec, Université Laval, Québec City, Québec, Canada, and at National Jewish Health, Denver, Colorado, and enrollment of patients took place from August 2012 through July 2017. Main Outcomes and Measures: The primary end points were the treatment response and remission rates, defined by the Insomnia Severity Index total score. Results: Patients included 211 adults (132 women; mean [SD] age, 45.6 [14.9] years) with a chronic insomnia disorder, including 74 patients with a comorbid anxiety or mood disorder. First-stage therapy with BT or zolpidem produced equivalent weighted percentages of responders (BT, 45.5%; zolpidem, 49.7%; OR, 1.18; 95% CI, 0.60-2.33) and remitters (BT, 38.03%; zolpidem, 30.3%; OR, 1.41; 95% CI, 0.75-2.65). Second-stage therapy produced significant increases in responders for the 2 conditions, starting with BT (BT to zolpidem, 40.6% to 62.7%; OR, 2.46; 95% CI, 1.14-5.30; BT to CT, 50.1% to 68.2%; OR, 2.09; 95% CI, 1.01-4.35) but no significant change following zolpidem treatment. Significant increase in percentage of remitters was observed in 2 of 4 therapy sequences (BT to zolpidem, 38.1% to 55.9%; OR, 2.06; 95% CI, 1.04-4.11; zolpidem to trazodone, 31.4% to 49.4%; OR, 2.13; 95% CI, 0.91-5.00). Although response/remission rates were lower among patients with psychiatric comorbidity, treatment sequences that involved BT followed by CT or zolpidem followed by trazodone yielded better outcomes for patients with comorbid insomnia. Response and remission rates were well sustained through the 12-month follow-up. Conclusions and Relevance: Behavioral therapy and zolpidem medication produced equivalent response and remission rates. Adding a second treatment produced an added value for those whose insomnia failed to remit with initial therapies. Trial Registration: ClinicalTrials.gov Identifier: NCT01651442.",4,MAP,other_mental_health,"2 extractors (ext2,ext3) agree: MAP",MAP,meets_all_criteria,"RCT; insomnia disorder (DSM-5); zolpidem/trazodone pharmacotherapy; Canadian PI (Morin, Laval); 2020",MAP
627,25999335,10.1192/bjp.bp.114.147587,Agomelatine or placebo as adjunctive therapy to a mood stabiliser in bipolar I depression: randomised double-blind placebo-controlled trial.,"Yatham LN, Vieta E, Goodwin GM, Bourin M, de Bodinat C, Laredo J, Calabrese J, Agomelatine Study Group.",British Journal of Psychiatry,2016,Background Adjunctive antidepressant therapy is commonly used to treat acute bipolar depression but few studies have examined this strategy. Aims To examine the efficacy of agomelatine v. placebo as adjuncts to lithium or valproate in bipolar depression. Method Patients who were currently depressed despite taking lithium or valproate for at least 6 weeks were randomised to treatment with agomelatine (n = 172) or placebo (n = 172) for 8 weeks of acute therapy and 44 weeks of continuation therapy (trial registration: ISRCTN28588282). Results No significant differences in improvement of depressive symptoms were observed between the two groups either at 8 weeks or 52 weeks on the primary efficacy measure of change in Montgomery-Aes sberg Depression Rating Scale scores from baseline to end-point. Adverse events including switches into mania/hypomania were low and similar in both groups. Conclusions Agomelatine adjunctive therapy was not superior to placebo adjunctive therapy for acute bipolar depression.,5,MAP,pharmacological_rct_mental,"Votes: E1=UNCERTAIN, E2=MAP, E3=MAP | Majority (2/3) for MAP",MAP,meets_all_criteria,"RCT; bipolar I depression (DSM-5); agomelatine (pharmacotherapy); Canadian PI (Yatham LN, UBC); 2016",MAP
667,28185899,10.1016/s2215-0366(17)30046-9,"Lurasidone versus treatment as usual for cognitive impairment in euthymic patients with bipolar I disorder: a randomised, open-label, pilot study.",Yatham L.N.; Mackala S.; Basivireddy J.; Ahn S.; Walji N.; Hu C.; Lam R.W.; Torres I.J.,Lancet Psychiatry,2017,"Background Cognitive impairment is present in euthymic patients with bipolar disorder and correlates with impairments in everyday functioning. We aimed to examine the efficacy of lurasidone adjunctive therapy compared with treatment as usual (TAU) in improving cognition. Methods For this randomised, open-label, pilot study, we recruited patients aged 19–65 years with euthymic bipolar I disorder from the Mood Disorder Centre in UBC Hospital (Vancouver, Canada). We included patients who were taking lithium, or valproate, or an atypical antipsychotic, or a combination of these for mood stabilisation and who showed reduced cognitive functioning (SD≤ −0·25 relative to demographics-corrected norms) on either the Trail Making Test-B or the California Verbal Learning Test-II. Patients were randomly assigned using a randomised block design with a block size of four to TAU or lurasidone adjunctive therapy (20–80 mg/day) for 6 weeks. A research coordinator masked to group allocation administered the International Society for Bipolar Disorders Battery for Assessment of Neurocognition (ISBD-BANC) at baseline and at endpoint. The primary outcome was change in global cognition score, which consisted of the mean demographics-corrected t-score value of the several ISBD-BANC measures, analysed in all patients who completed both tests. This trial is registered on ClinicalTrials.gov, number NCT02147379. Findings Between July 2, 2014, and Oct 19, 2015, 34 patients were randomly allocated to lurasidone adjunctive therapy (17 patients) or TAU (17 patients). Two patients from each group did not complete the study. The mean lurasidone dose was 48·24 (SD 15·90) mg/day. Lurasidone adjunctive therapy was more effective than TAU in improving the primary efficacy measure of ISBD-BANC global cognition score (mean difference 2·92 [95% CI 0·27–5·57]; time × treatment interaction F=5·09; p=0·032). The between-group effect size (0·82) on baseline versus study-end difference scores in the ISBD global cognition score was of moderate to large magnitude. The magnitude of benefit with lurasidone adjunctive therapy in improving global cognition (effect size 0·46) was greater compared with the improvement observed in the TAU group (0·04). Adverse events were reported by nine (60%) patients in the luradisone group and two (13%) in the TAU group. Interpretation Our results provide some preliminary evidence for the efficacy of lurasidone in improving cognition in euthymic patients with bipolar I disorder. The strengths of this study were the characterisation of the sample and use of tests sensitive to cognitive impairment in bipolar disorder. Its limitations were the sample size and inability to completely control for other medication use. Larger double-blind trials are warranted to investigate this further. Funding Sumitomo Dainippon Pharma.",5,MAP,pharmacological_rct_mental_canadian,"Votes: E1=MAP, E2=MAP, E3=MAP | Unanimous agreement",MAP,meets_all_criteria,"RCT; bipolar I disorder (DSM-5); lurasidone (antipsychotic) for cognitive impairment; UBC Vancouver, Canada; 2017",MAP
699,32380271,10.1016/j.bbi.2020.04.063,Efficacy of adjunctive infliximab vs. placebo in the treatment of anhedonia in bipolar I/II depression.,Lee Y.; Mansur R.B.; Brietzke E.; Carmona N.E.; Subramaniapillai M.; Pan Z.; Shekotikhina M.; Rosenblat J.D.; Suppes T.; Cosgrove V.E.; Kramer N.E.; McIntyre R.S.,Brain Behavior and Immunity,2020,"We investigated the efficacy of tumour necrosis factor (TNF)-α antagonist infliximab on a measure of anhedonia amongst individuals with bipolar I/II depression (ClinicalTrials.gov identifier NCT02363738). Adults (ages 18-65) with bipolar I/II disorder currently experiencing a major depressive episode with a higher probability of inflammatory activity (i.e., meeting one or more of the following inflammatory/metabolic criteria: obesity and dyslipidemia/hypertension, daily cigarette smoking, diabetes mellitus, migraine, inflammatory bowel disease, and/or C-reactive protein level of ⩾5 mg/L) were enrolled in a double-blind, 12-week clinical trial of adjunctive infliximab (5 mg/kg) and saline control, which were administered at weeks 0, 2, and 6. The primary outcome measure for the present secondary analysis was change in the Snaith-Hamilton Pleasure Scale (SHAPS) total score between placebo- and infliximab-treated subjects from baseline to weeks 6 and 12. Plasma concentrations of TNF-α and soluble TNF receptors (sTNFR) 1 and 2 were assessed at weeks 0, 2, 6, and 12. Sixty eligible adults received treatment with infliximab (n=29) or placebo (n=31); 47 subjects completed the study (infliximab: n=21, placebo: n=26). Overall, infliximab-randomized subjects exhibited significantly larger increases in SHAPS total score, denoting greater reductions in anhedonic symptoms, when compared to placebo-randomized subjects (treatment × time interaction effect: χ2=7.15,df=2,p=0.03). Anti-anhedonic efficacy was moderated by baseline plasma levels of TNF-α and sTNFR1, but not by changes in TNF-α or sTNFR1 concentrations. Baseline and changes in sTNFR2 concentrations did not moderate anti-anhedonic efficacy. Infliximab significantly improved a measure of anhedonia relative to placebo in adults with bipolar I/II depression at week 6; intervention efficacy was not sustained 6 weeks after the final infusion.",5,MAP,pharmacological_rct_mental_canadian,"Votes: E1=MAP, E2=MAP, E3=MAP | Unanimous agreement",MAP,meets_all_criteria,"RCT; bipolar I/II depression (DSM-5); infliximab (anti-TNF, pharmacotherapy for anhedonia); Canadian PI (McIntyre RS, Toronto); 2020",MAP
809,28061017,10.1111/add.13753,Feasibility and safety of extended-release naltrexone treatment of opioid and alcohol use disorder in HIV clinics: a pilot/feasibility randomized trial.,"Korthuis PT, Lum PJ, Vergara-Rodriguez P, Ahamad K, Wood E, Kunkel LE, Oden NL, Lindblad R, Sorensen JL, Arenas V, Ha D, Mandler RN, McCarty D, CTN-0055 CHOICES Investigators.",Addiction,2017,"Background and aims: HIV-infected people with substance use disorders are least likely to benefit from advances in HIV treatment. Integration of extended-release naltrexone (XR-NTX) into HIV clinics may increase engagement in the HIV care continuum by decreasing substance use. We aimed to compare (1) XR-NTX treatment initiation, (2) retention and (3) safety of XR-NTX versus treatment as usual (TAU) for treating opioid use disorder (OUD) and/or alcohol use disorder (AUD) in HIV clinics. Design: Non-blinded randomized trial of XR-NTX versus pharmacotherapy TAU. Setting: HIV primary care clinics in Vancouver, BC, Canada and Chicago, IL, USA. Participants: Fifty-one HIV-infected patients seeking treatment for OUD (n = 16), AUD (n = 27) or both OUD and AUD (n = 8). Measurements: Primary outcomes were XR-NTX initiation (receipt of first injection within 4 weeks of randomization) and retention at 16 weeks. Secondary outcomes generated point estimates for change in substance use, HIV viral suppression [HIV RNA polymerase chain reaction (pcr) < 200 copies/ml] and safety. Findings: Two-thirds (68%) of participants assigned to XR-NTX initiated treatment, and 88% of these were retained on XR-NTX at 16 weeks. In comparison, 96% of TAU participants initiated treatment, but only 50% were retained on medication at 16 weeks. Mean days of opioid use in past 30 days decreased from 17.3 to 4.1 for TAU and from 20.3 to 7.7 for XR-NTX. Mean heavy drinking days decreased from 15.6 to 5.7 for TAU and 12.5 to 2.8 for XR-NTX. Among those with OUD, HIV suppression improved from 67 to 80% for XR-NTX and 58 to 75% for TAU. XR-NTX was well tolerated, with no precipitated withdrawals and one serious injection-site reaction. Conclusions: Extended-release naltrexone (XR-NTX) is feasible and safe for treatment of opioid use disorder and alcohol use disorder in HIV clinics. Treatment initiation appears to be lower and retention greater for XR-NTX compared with treatment as usual (clinicaltrials.gov NCT01908062).",6,MAP,substance_use_pharma_RCT,Unanimous (MAP),MAP,meets_all_criteria,"RCT; opioid/alcohol use disorder (DSM-5); extended-release naltrexone (pharmacotherapy); Vancouver BC, Canada; 2017",MAP
915,27284082,10.1192/bjp.bp.115.173930,Methylene blue treatment for residual symptoms of bipolar disorder: randomised crossover study.,Alda M.; McKinnon M.; Blagdon R.; Garnham J.; MacLellan S.; O'Donovan C.; Hajek T.; Nair C.; Dursun S.; MacQueen G.,British Journal of Psychiatry,2017,"Background Residual symptoms and cognitive impairment are among important sources of disability in patients with bipolar disorder. Methylene blue could improve such symptoms because of its potential neuroprotective effects. Aims We conducted a double-blind crossover study of a low dose (15 mg, 'placebo') and an active dose (195 mg) of methylene blue in patients with bipolar disorder treated with lamotrigine. Method Thirty-seven participants were enrolled in a 6-month trial (trial registration: NCT00214877). The outcome measures included severity of depression, mania and anxiety, and cognitive functioning. Results The active dose of methylene blue significantly improved symptoms of depression both on the Montgomery-A sberg Depression Rating Scale and Hamilton Rating Scale for Depression (P = 0.02 and 0.05 in last-observation-carriedforward analysis). It also reduced the symptoms of anxiety measured by the Hamilton Rating Scale for Anxiety (P = 0.02). The symptoms of mania remained low and stable throughout the study. The effects of methylene blue on cognitive symptoms were not significant. The medication was well tolerated with transient and mild side-effects. Conclusions Methylene blue used as an adjunctive medication improved residual symptoms of depression and anxiety in patients with bipolar disorder.",7,MAP,Mental health pharma RCT,Unanimous agreement,MAP,meets_all_criteria,"RCT crossover; bipolar disorder (DSM-5); methylene blue (pharmacotherapy); Canadian PIs (Alda M/Dalhousie, MacQueen G); 2017",MAP
935,26460229,10.1038/mp.2015.158,Optimal duration of risperidone or olanzapine adjunctive therapy to mood stabilizer following remission of a manic episode: A CANMAT randomized double-blind trial.,Yatham L.N.; Beaulieu S.; Schaffer A.; Kauer-Sant'Anna M.; Kapczinski F.; Lafer B.; Sharma V.; Parikh S.V.; Daigneault A.; Qian H.; Bond D.J.; Silverstone P.H.; Walji N.; Milev R.; Baruch P.; Da Cunha A.; Quevedo J.; Dias R.; Kunz M.; Young L.T.; Lam R.W.; Wong H.,Molecular Psychiatry,2016,"Atypical antipsychotic adjunctive therapy to lithium or valproate is effective in treating acute mania. Although continuation of atypical antipsychotic adjunctive therapy after mania remission reduces relapse of mood episodes, the optimal duration is unknown. As many atypical antipsychotics cause weight gain and metabolic syndrome, they should not be continued unless the benefits outweigh the risks. This 52-week double-blind placebo-controlled trial recruited patients with bipolar I disorder (n=159) who recently remitted from a manic episode during treatment with risperidone or olanzapine adjunctive therapy to lithium or valproate. Patients were randomized to one of three conditions: discontinuation of risperidone or olanzapine and substitution with placebo at (i) entry ('0-weeks' group) or (ii) at 24 weeks after entry ('24-weeks' group) or (iii) continuation of risperidone or olanzapine for the full duration of the study ('52-weeks' group). The primary outcome measure was time to relapse of any mood episode. Compared with the 0-weeks group, the time to any mood episode was significantly longer in the 24-weeks group (hazard ratio (HR) 0.53; 95% confidence interval (CI): 0.33, 0.86) and nearly so in the 52-weeks group (HR: 0.63; 95% CI: 0.39, 1.02). The relapse rate was similar in the 52-weeks group compared with the 24-weeks group (HR: 1.18; 95% CI: 0.71, 1.99); however, sub-group analysis showed discordant results between the two antipsychotics (HR: 0.48, 95% CI: 0.17; 1.32 olanzapine patients; HR: 1.85, 95% CI: 1.00, 3.41 risperidone patients). Average weight gain was 3.2 kg in the 52-weeks group compared with a weight loss of 0.2 kg in the 0-weeks and 0.1 kg in the 24-weeks groups. These findings suggest that risperidone or olanzapine adjunctive therapy for 24 weeks is beneficial but continuation of risperidone beyond this period does not reduce the risk of relapse. Whether continuation of olanzapine beyond this period reduces relapse risk remains unclear but the potential benefit needs to be weighed against an increased risk of weight gain.",7,MAP,Mental health pharma RCT,Unanimous agreement,MAP,meets_all_criteria,"RCT; bipolar I (DSM-5); risperidone/olanzapine adjunctive (antipsychotic); CANMAT trial, Canadian PIs (Yatham, Lam, Milev et al); 2016",MAP
